,Date,Open,High,Low,Close,Adj Close_x,Volume,Adj Close_y,average oil price,RE consumption,TE consumption
72,201505,18.959999,19.870001,18.549999,19.6,18.804546,440300,47.482292,54.38,827.082,7638.888
73,201506,19.639999,19.93,18.370001,18.459999,17.710812,467000,44.784748,55.88,792.384,7894.009
74,201507,18.559999,18.59,16.700001,17.059999,16.388388,356900,47.05629,47.7,818.218,8424.892
75,201508,17.110001,17.24,13.31,15.18,14.582396,490800,47.203838,39.98,792.071,8307.919
76,201509,15.08,15.63,13.58,14.03,13.477667,347600,49.177204,41.6,742.598,7680.299
77,201510,14.03,15.51,13.74,14.96,14.395541,315600,53.640194,42.34,775.164,7612.446
78,201511,15.01,15.53,13.86,14.82,14.260822,793500,54.316601,38.19,827.127,7672.074
79,201512,14.91,16.290001,14.59,16.049999,15.444412,569800,53.899643,32.26,882.748,8363.649
80,201601,15.77,16.059999,12.81,14.35,13.841534,383700,57.703979,27.02,875.547,9053.586
81,201602,14.24,14.45,12.5,14.25,13.745077,381600,58.904591,25.52,864.706,8222.713
82,201603,14.24,15.24,14.11,14.81,14.285233,227700,61.780483,31.87,941.808,7975.876
83,201604,14.8,15.65,14.53,14.9,14.411383,174300,57.654568,35.59,891.62,7442.913
84,201605,14.87,14.93,13.62,14.72,14.237288,242900,61.671989,41.02,902.057,7572.458
85,201606,14.55,15.05,13.17,14.29,13.821385,263400,60.420052,43.96,858.695,7926.171
86,201607,14.23,15.65,14,15.46,15.007137,247200,66.437462,40.71,870.521,8459.39
87,201608,15.39,15.51,14.87,14.98,14.541196,134800,66.85997,40.46,822.235,8528.195
88,201609,15.06,15.17,14.37,15.13,14.686802,246000,63.414162,40.55,788.537,7737.064
89,201610,15.15,15.15,14.33,14.52,14.175787,171600,60.341843,45,835.547,7641.292
90,201611,14.57,15.52,13.21,15.18,14.820141,377300,60.45504,41.65,835.455,7703.619
91,201612,15.19,15.95,14.78,15.42,15.05445,207600,63.313198,47.12,941.426,9070.671
92,201701,15.53,16.25,15.5,15.84,15.479208,200100,66.848076,48.19,926.412,8975.697
93,201702,16.07,17.059999,15.8,16.67,16.2903,235100,67.388245,49.41,867.332,7616.721
94,201703,16.91,16.91,16.110001,16.76,16.378252,250900,65.815109,46.39,1022.631,8422.587
95,201704,16.92,17.01,16.27,16.809999,16.446274,214800,65.562195,47.23,996.949,7444.268
96,201705,16.799999,17.73,16.620001,17.450001,17.072428,246900,64.400787,45.19,1035.02,7790.061
97,201706,17.620001,18.51,17.5,18.09,17.698576,714600,68.056343,42.17,990.744,7954.432
98,201707,18.24,19.469999,17.620001,18.959999,18.57696,758000,71.176353,43.42,931.89,8422.533
99,201708,19.07,19.290001,17.870001,18.75,18.371206,447800,72.142967,44.96,873.973,8287.823
100,201709,18.91,19.65,18.58,19.23,18.841507,651000,74.23893,47.17,851.806,7621.183
101,201710,19.540001,20.49,19.209999,20.4,20.004576,638700,69.885529,49.12,924.195,7829.48
102,201711,20.629999,20.959999,20.030001,20.360001,19.965353,811500,73.079201,55.19,920.939,8122.396
103,201712,20.43,20.93,19.52,20.299999,19.906515,528700,73.906487,56.98,958.763,9220.468
104,201801,20.5,21.73,20.33,20.75,20.37846,588500,78.211227,62.25,981.701,9662.711
105,201802,21.030001,21.030001,18.209999,19.85,19.494574,666600,78.056572,61.18,925.757,8060.5
106,201803,19.940001,20.959999,19.01,19.52,19.170483,300800,83.344109,60.68,1019.622,8709.417
107,201804,19.49,20.34,18.92,19.16,18.826073,334300,85.76033,63.5,1027.738,7885.08
108,201805,19.09,20.5,18.93,20.15,19.798817,267000,89.197739,66.16,1058.466,7979.738
109,201806,20.209999,20.469999,19.309999,19.49,19.15032,317700,88.624832,62.8,1039.297,8143.144
110,201807,19.5,20.309999,19.35,19.959999,19.667738,380300,89.162689,67,954.652,8606.545
111,201808,19.85,20.85,19.75,20.5,20.199833,326200,93.10379,62.64,959.408,8685.487
112,201809,20.43,20.6,19.469999,19.700001,19.411545,198500,83.69976,63.54,874.498,7857.096
113,201810,20.030001,20.030001,17.610001,18.709999,18.465248,257900,84.996124,65.18,910.443,8073.5
114,201811,18.860001,19.58,18.42,19.559999,19.304131,237600,89.515007,55.65,915.786,8509.805
115,201812,19.74,19.860001,16.309999,17.620001,17.389509,514800,79.95771,47.63,949.296,9019.973
116,201901,17.299999,19.58,17.049999,19.43,19.264416,255900,86.736046,47.85,965.355,9503.785
117,201902,19.450001,21.280001,19.42,20.93,20.751631,241400,90.21376,52.51,885.337,8352.209
118,201903,20.950001,21,19.73,20.09,19.918791,234200,86.194183,57.47,1004.003,8677.151
119,201904,20.32,21.530001,20.280001,20.959999,20.825878,341800,91.306801,63.01,1040.178,7623.996
120,201905,21.1,21.48,18.809999,18.809999,18.689636,276100,89.761909,59.68,1071.545,7911.739
121,201906,18.91,21.190001,18.91,21.110001,20.97492,298100,95.238335,54.22,1010.127,7902.853
122,201907,21.68,22.540001,21.219999,22.23,22.11359,403600,95.908669,56.47,992.857,8569.889
123,201908,22.32,22.68,20.6,21.25,21.138723,338900,99.362045,53.63,943.754,8552.23
